actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
23,1,Inoculum,7,0,7,0.25315829740420526,0.862181566,0.21826841730185143,5.984288377651593
24,1,Inoculum,7,0,7,0.4264108545503795,0.862181566,0.3676435783356444,6.351931955987237
25,1,Inoculum,7,0,7,0.1602646799649019,0.862181566,0.13817725274662793,6.490109208733865
26,1,Inoculum,7,0,7,0.0459046939983665,0.862181566,0.039578180958262425,6.5296873896921275
27,1,Inoculum,7,0,7,0.12637886725910086,0.862181566,0.1089615296827577,6.638648919374885
28,1,Inoculum,7,0,7,0.24686127955565418,0.862181566,0.2128392445920577,6.851488163966943
1,2,Inoculum,7,0,7,3.1316411634208547,0.339941616,1.0645751578254055,1.0645751578254055
2,2,Inoculum,7,0,7,0.7665634896338527,0.679883232,0.5211736628654623,1.5857488206908679
3,2,Inoculum,7,0,7,0.46543020038889127,0.725434249,0.33763900788103485,1.9233878285719026
4,2,Inoculum,7,0,7,0.5484543576229122,0.770985266,0.42285022880076006,2.3462380573726627
5,2,Inoculum,7,0,7,0.3381620631867186,0.7833791831666667,0.26490912083716633,2.611147178209829
6,2,Inoculum,7,0,7,0.3386112957395424,0.7957731003333333,0.2694577606185429,2.880604938828372
7,2,Inoculum,7,0,7,0.5130620603756508,0.8081670175,0.4146398351261946,3.2952447739545665
8,2,Inoculum,7,0,7,0.25595293617026815,0.8205609346666667,0.2100249805345529,3.5052697544891194
9,2,Inoculum,7,0,7,0.3375294474015007,0.8329548518333333,0.2811467908497039,3.7864165453388234
10,2,Inoculum,7,0,7,0.5098797589046384,0.845348769,0.4310262265280529,4.217442771866876
11,2,Inoculum,7,0,7,0.2089918001130524,0.84880198325,0.17739265441894644,4.394835426285823
12,2,Inoculum,7,0,7,0.16262033214257343,0.8522551975,0.13859402328768453,4.533429449573507
13,2,Inoculum,7,0,7,0.17390932673850656,0.85570841175,0.14881567377191926,4.682245123345426
14,2,Inoculum,7,0,7,0.20899558453805867,0.859161626,0.17956098623853894,4.8618061095839655
15,2,Inoculum,7,0,7,-0.33715004231612333,0.8590137983333334,0,4.8618061095839655
16,2,Inoculum,7,0,7,0.17443995936890744,0.8588659706666667,0.14982054502643058,5.011626654610396
