actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
12,10,I+MC,7,3.5,10.5,24.24821856590438,0.7913270385,19.18827098665783,350.94603448314155
13,10,I+MC,7,3.5,10.5,11.851545855382255,0.80068568775,9.489363144117403,360.43539762725896
14,10,I+MC,7,3.5,10.5,3.9873368737108876,0.810044337,3.229919654260789,363.6653172815198
15,10,I+MC,7,3.5,10.5,3.579285960597076,0.812280922,2.907385700175449,366.5727029816952
16,10,I+MC,7,3.5,10.5,2.7893302564070837,0.814517507,2.2719583266483685,368.8446613083436
17,10,I+MC,7,3.5,10.5,1.7087499886160913,0.816754092,1.395628545407146,370.2402898537507
18,10,I+MC,7,3.5,10.5,1.3762622148519768,0.81615517,1.1232435219270918,371.3635333756778
19,10,I+MC,7,3.5,10.5,0.4585310941188254,0.815556248,0.37395789871088414,371.7374912743887
20,10,I+MC,7,3.5,10.5,1.4987120154607965,0.814957326,1.2213863365640014,372.9588776109527
21,10,I+MC,7,3.5,10.5,-0.20865296782039877,0.814358404,0,372.9588776109527
22,10,I+MC,7,3.5,10.5,0.6679702895512492,0.814358404,0.5439672189183732,373.5028448298711
23,10,I+MC,7,3.5,10.5,-0.1231521204698538,0.814358404,0,373.5028448298711
24,10,I+MC,7,3.5,10.5,-0.3226188618054948,0.814358404,0,373.5028448298711
25,10,I+MC,7,3.5,10.5,-0.3333988402058594,0.814358404,0,373.5028448298711
26,10,I+MC,7,3.5,10.5,-0.0027770283255676986,0.814358404,0,373.5028448298711
27,10,I+MC,7,3.5,10.5,-0.1451759268782098,0.814358404,0,373.5028448298711
28,10,I+MC,7,3.5,10.5,-0.27463798259043415,0.814358404,0,373.5028448298711
1,11,I+MC,7,3.5,10.5,10.558696029809225,0.222646706,2.350858890692302,2.350858890692302
2,11,I+MC,7,3.5,10.5,87.50955444689414,0.445293412,38.967428082257264,41.318286972949565
3,11,I+MC,7,3.5,10.5,144.71852719447884,0.540450988,78.21327100416096,119.53155797711052
4,11,I+MC,7,3.5,10.5,97.13292625842845,0.635608564,61.7385197762376,181.27007775334812
5,11,I+MC,7,3.5,10.5,22.95645934335846,0.6541291243333334,15.016488648064838,196.28656640141295
6,11,I+MC,7,3.5,10.5,25.58343748693369,0.6726496846666666,17.208691158275325,213.49525755968827
7,11,I+MC,7,3.5,10.5,19.329629926154837,0.691170245,13.36006505181977,226.85532261150803
8,11,I+MC,7,3.5,10.5,19.171991283473005,0.7183167433333334,13.771562341959385,240.62688495346742
9,11,I+MC,7,3.5,10.5,27.252409811014502,0.7454632416666667,20.31566976094734,260.94255471441477
10,11,I+MC,7,3.5,10.5,36.427616481951134,0.77260974,28.14433129893998,289.08688601335473
11,11,I+MC,7,3.5,10.5,49.98861641046034,0.78196838925,39.08951785532379,328.1764038686785
12,11,I+MC,7,3.5,10.5,40.468816185974674,0.7913270385,32.024068464048206,360.2004723327267
13,11,I+MC,7,3.5,10.5,16.344803469524777,0.80068568775,13.087050207135032,373.2875225398617
14,11,I+MC,7,3.5,10.5,6.530337300909991,0.810044337,5.289862749302004,378.5773852891637
15,11,I+MC,7,3.5,10.5,3.23937520736456,0.812280922,2.631282680142026,381.20866796930574
16,11,I+MC,7,3.5,10.5,3.171607501828362,0.814517507,2.5833298355717353,383.7919978048775
17,11,I+MC,7,3.5,10.5,1.1509819834668633,0.816754092,0.940069244814837,384.7320670496923
18,11,I+MC,7,3.5,10.5,2.4914665511938665,0.81615517,2.033423306638944,386.76549035633127
19,11,I+MC,7,3.5,10.5,0.6989620784512454,0.815556248,0.5700428901959793,387.33553324652723
20,11,I+MC,7,3.5,10.5,0.4362644939749316,0.814957326,0.3555369454385534,387.69107019196576
21,11,I+MC,7,3.5,10.5,-0.03180165264063817,0.814358404,0,387.69107019196576
22,11,I+MC,7,3.5,10.5,0.9098490101695234,0.814358404,0.7409431878026328,388.4320133797684
23,11,I+MC,7,3.5,10.5,-0.0360834905604861,0.814358404,0,388.4320133797684
24,11,I+MC,7,3.5,10.5,-0.0813949095921771,0.814358404,0,388.4320133797684
25,11,I+MC,7,3.5,10.5,-0.18023995351040867,0.814358404,0,388.4320133797684
26,11,I+MC,7,3.5,10.5,0.06358013812393892,0.814358404,0.05177701980871046,388.4837903995771
27,11,I+MC,7,3.5,10.5,0.031911258039031054,0.814358404,0.0259872011662975,388.5097776007434
28,11,I+MC,7,3.5,10.5,1.4847191050196216,0.814358404,1.2090934807520874,389.7188710814955
1,12,I+MC,7,3.5,10.5,2.0451804994277287,0.222646706,0.4553527013730187,0.4553527013730187
2,12,I+MC,7,3.5,10.5,102.79243254729978,0.445293412,45.77279301676697,46.228145718139984
3,12,I+MC,7,3.5,10.5,159.33807125723584,0.540450988,86.11441803698752,132.34256375512751
4,12,I+MC,7,3.5,10.5,106.50055313555515,0.635608564,67.69266364369591,200.03522739882342
5,12,I+MC,7,3.5,10.5,21.694508782323567,0.6541291243333334,14.191010032623126,214.22623743144655
6,12,I+MC,7,3.5,10.5,26.560526451862643,0.6726496846666666,17.865929742426065,232.0921671738726
7,12,I+MC,7,3.5,10.5,23.092634877051864,0.691170245,15.960942105667483,248.05310927954008
8,12,I+MC,7,3.5,10.5,23.32529747225408,0.7183167433333334,16.75495171755078,264.8080609970909
9,12,I+MC,7,3.5,10.5,30.53252203961108,0.7454632416666667,22.760872855907422,287.56893385299827
10,12,I+MC,7,3.5,10.5,42.987990858091166,0.77260974,33.212940439992195,320.78187429299044
11,12,I+MC,7,3.5,10.5,55.182352423574116,0.78196838925,43.150855239688084,363.93272953267854
12,12,I+MC,7,3.5,10.5,32.358299096962696,0.7913270385,25.605996995296714,389.53872652797526
13,12,I+MC,7,3.5,10.5,14.459655365471804,0.80068568775,11.577639100930769,401.116365628906
14,12,I+MC,7,3.5,10.5,5.995187502774911,0.810044337,4.8563676858759885,405.972733314782
15,12,I+MC,7,3.5,10.5,4.887778601551986,0.812280922,3.970249309000518,409.9429826237825
16,12,I+MC,7,3.5,10.5,1.3551111269342755,0.814517507,1.1037617368184667,411.04674436060094
17,12,I+MC,7,3.5,10.5,1.0679756726227652,0.816754092,0.8722735007710959,411.919017861372
18,12,I+MC,7,3.5,10.5,2.4693221489286543,0.81615517,2.015350038243631,413.93436789961567
19,12,I+MC,7,3.5,10.5,0.5372750649727323,0.815556248,0.43817803613311773,414.3725459357488
20,12,I+MC,7,3.5,10.5,0.5156137067109512,0.814957326,0.42020316767010507,414.7927491034189
21,12,I+MC,7,3.5,10.5,-0.16685546279097707,0.814358404,0,414.7927491034189
22,12,I+MC,7,3.5,10.5,0.8842556325892019,0.814358404,0.7201010056833529,415.51285010910226
23,12,I+MC,7,3.5,10.5,-0.23830620165188066,0.814358404,0,415.51285010910226
24,12,I+MC,7,3.5,10.5,-0.19261494197576212,0.814358404,0,415.51285010910226
25,12,I+MC,7,3.5,10.5,-0.2067273894230084,0.814358404,0,415.51285010910226
26,12,I+MC,7,3.5,10.5,-0.14100313335086412,0.814358404,0,415.51285010910226
27,12,I+MC,7,3.5,10.5,-0.224661381808005,0.814358404,0,415.51285010910226
28,12,I+MC,7,3.5,10.5,-0.1842543106992025,0.814358404,0,415.51285010910226
